Country,Coal Revenue,Forest Revenue,Energy Consumption,Metric Tons of CO2,Barrels per Day of Petroleum
Saint Vincent and the Grenadines,0.0,0.02,27821000.0,202000.0,0
Samoa,0.0,0.27,27111000.0,355000.0,0
Sao Tome and Principe,0.0,1.9,11636000.0,173000.0,0
Saudi Arabia,0.0,0.0,296949000.0,579925000.0,2476000
Senegal,0.0,1.46,9221000.0,10696000.0,17590
Seychelles,0.0,0.09,163060000.0,1156000.0,0
Sierra Leone,0.0,6.92,1803000.0,899000.0,0
Singapore,0.0,0.0,639951000.0,238983000.0,755000
Solomon Islands,0.0,20.27,6955000.0,333000.0,0
Spain,0.0,0.02,122673000.0,280624000.0,1361000
Sri Lanka,0.0,0.06,17268000.0,23939000.0,34210
Sudan,0.0,3.01,8047000.0,17319000.0,94830
Suriname,0.0,2.36,82356000.0,2372000.0,7571
Sweden,0.0,0.21,210882000.0,48144000.0,413200
Switzerland,0.0,0.01,137918000.0,38739000.0,61550
Timor-Leste,0.0,0.13,5740000.0,538000.0,0
Togo,0.0,3.96,4113000.0,2244000.0,0
Tonga,0.0,0.03,22841000.0,171000.0,0
Tunisia,0.0,0.21,35620000.0,23692000.0,27770
Turkmenistan,0.0,0.0,330507000.0,109037000.0,191100
Turks and Caicos Islands,0.0,0.0,0.0,245000.0,0
Uganda,0.0,7.32,2943000.0,5841000.0,0
United Arab Emirates,0.0,0.0,471788000.0,276236000.0,943500
United Kingdom,0.0,0.01,119894000.0,398084000.0,1290000
Uruguay,0.0,1.56,66909000.0,6450000.0,42220
Vanuatu,0.0,0.54,10878000.0,225000.0,0
Yemen,0.0,0.04,5453000.0,10158000.0,20180
